State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,9,9,15,14,13,14,14,10,9,12,11,9,7,5,3,1,0,-1,-1,0,0,-1,-2,-2,0,1,0,-1,0,-2,-2,-1,-1,-1,1,2,-1,-1,1,3,0,2,4
Alaska,10,11,18,17,18,16,15,7,8,11,11,10,8,5,1,1,2,2,2,2,2,0,-1,0,0,0,0,0,0,-1,-2,-2,-1,0,0,0,-1,-1,0,0,2,3,8
Arizona,10,12,18,16,15,15,14,9,10,13,13,12,9,6,2,1,3,4,3,2,1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,0,0,0,5
Arkansas,7,10,13,12,12,13,13,10,8,11,10,9,8,8,4,3,2,0,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-1,-2,-3,-3,-2,-1,0,1,1,0,-1,0,-1,2,4
California,15,18,23,23,22,22,21,15,16,20,19,17,15,12,7,6,5,4,3,2,2,1,1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,8
Colorado,13,17,24,22,19,18,16,11,13,20,22,16,13,9,5,5,5,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-2,-1,0,1,0,2,-1,-1,1,2,3,5
Connecticut,15,15,22,21,22,21,21,13,11,17,18,15,14,11,6,4,5,3,1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,1,0,0,3,6
Delaware,12,16,20,19,21,19,17,11,10,14,14,13,11,8,5,3,3,1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,4
Florida,13,14,20,18,17,17,15,11,11,13,12,11,9,7,4,2,2,1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,3
Georgia,11,12,17,18,17,18,17,11,9,12,13,12,11,8,5,2,1,1,0,0,0,-1,-2,-2,0,2,1,0,-1,-2,-2,-2,-1,-1,1,1,-1,-1,1,3,1,3,4
Hawaii,16,18,25,25,23,21,17,12,12,15,14,12,12,8,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,11
Idaho,10,12,18,17,14,13,10,6,6,10,10,9,8,3,2,3,1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,-1,-1,0,0,0,3
Illinois,13,15,23,23,21,22,21,15,13,16,17,16,13,9,5,3,2,1,1,0,1,-1,-3,-2,-1,-1,-1,-1,-1,-3,-2,-1,0,1,1,0,-2,-2,-1,0,0,0,5
Indiana,11,13,21,20,19,16,15,10,10,13,13,12,9,7,4,3,2,1,0,0,0,-1,-3,-2,-1,-1,-1,-1,-1,-2,-2,0,1,1,0,1,-2,-2,-1,0,0,0,4
Iowa,10,13,16,17,16,16,15,10,10,13,14,12,9,6,3,2,0,-1,0,0,1,-1,-3,-3,-2,0,-1,-1,-1,-3,-3,-2,0,0,1,0,-2,-2,-2,0,0,1,4
Kansas,9,12,15,17,15,16,13,10,9,11,12,10,9,8,4,3,1,0,-1,-1,1,0,-2,-4,-3,-2,-2,-2,-2,-3,-4,-4,-1,-1,1,0,0,-2,-3,1,-1,0,3
Kentucky,9,9,17,15,15,16,14,9,9,12,12,10,8,7,4,3,2,1,0,0,1,-1,-2,-1,-1,-1,-1,0,0,-2,-2,-1,0,0,0,2,-1,-2,0,0,0,1,4
Louisiana,11,14,20,18,17,18,15,11,12,14,12,10,9,6,3,2,1,0,-1,-1,0,-1,-2,-1,-1,0,0,-2,-1,-2,-2,0,0,1,5,2,-2,-1,1,2,0,0,2
Maine,10,11,19,17,17,18,15,9,10,15,15,12,11,8,3,2,4,2,0,0,0,-1,-1,0,0,0,0,-1,-1,-2,-1,1,4,-1,0,-1,-2,0,3,2,2,5,6
Maryland,13,16,23,22,24,21,21,13,12,17,17,16,14,11,7,4,3,2,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,8
Massachusetts,16,15,25,25,26,24,22,13,12,19,21,18,17,13,7,4,6,5,2,1,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,-1,-1,3,2,2,3,9
Michigan,12,17,27,25,24,24,18,10,11,17,16,14,12,9,5,3,4,2,0,0,0,-1,-2,-1,0,-1,-1,-1,-1,-2,-1,1,4,4,0,0,-2,-1,1,0,0,2,3
Minnesota,14,19,21,20,20,20,18,12,14,18,19,16,12,9,4,3,3,2,1,1,1,-1,-1,0,0,0,-1,0,-1,-2,-1,-1,0,-1,0,-1,-2,-1,0,1,0,1,5
Mississippi,9,9,14,13,13,13,12,10,9,11,9,7,6,4,2,0,1,1,0,0,1,-1,-3,-2,-2,0,0,-2,-2,-3,-3,-2,-1,-1,1,2,0,-1,0,3,0,1,4
Missouri,9,12,18,17,14,18,15,10,9,12,13,9,7,6,3,2,1,0,-2,-2,1,-1,-3,-3,-2,-2,-3,-1,-1,-3,-3,-2,-1,-1,1,1,-1,-2,-1,0,-2,0,5
Montana,10,13,15,14,14,13,11,7,8,12,12,10,8,5,4,4,3,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,-1,-1,0,0,0,-1,-1,-1,0,1,5
Nebraska,8,13,17,16,15,15,14,10,11,15,15,12,10,7,5,6,5,2,1,1,2,0,-2,-2,-1,-1,-2,-1,-1,-2,-3,-2,-1,-1,0,-1,-1,-2,-1,1,1,0,4
Nevada,14,16,22,21,20,19,18,14,15,19,18,15,11,8,4,3,3,2,1,1,1,1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,6
New Hampshire,13,13,20,20,20,21,18,11,10,16,17,14,13,9,4,3,3,2,1,1,0,-1,-1,0,0,0,0,-1,-1,-1,-1,2,3,1,1,0,-2,-1,1,0,1,3,5
New Jersey,16,19,27,26,27,25,26,16,14,20,21,18,17,13,7,4,5,4,2,1,0,0,-1,0,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,1,0,0,1,8
New Mexico,11,14,19,19,18,17,13,9,10,13,13,12,9,6,4,2,3,1,0,-1,-1,-1,-1,-2,-2,-1,-1,-1,-2,-2,-3,-2,-1,-1,0,-1,1,0,-1,0,0,0,4
New York,16,18,26,25,26,25,26,15,13,19,19,16,15,12,6,4,5,3,2,1,1,0,-1,0,0,-1,0,0,-1,-1,0,1,1,0,0,-1,-1,0,3,2,2,3,8
North Carolina,10,10,16,16,15,15,14,10,8,10,11,10,9,6,4,1,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-2,-2,-2,-2,-1,-1,0,0,0,1,8,6,0,0,2
North Dakota,9,12,18,16,16,16,14,10,12,16,14,11,8,7,4,3,3,1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-2,-2,0,0,1,1,5
Ohio,10,14,22,20,19,20,16,9,11,15,14,13,11,8,4,4,3,1,0,0,0,-1,-2,-1,0,-1,-1,0,-1,-2,-1,1,2,0,0,0,-1,-1,0,0,0,0,5
Oklahoma,9,11,16,14,12,13,13,10,9,12,11,9,8,7,3,2,3,0,-2,-2,0,0,-1,-2,-2,-2,-2,-1,-1,-3,-3,-2,-2,-1,0,1,1,0,0,0,-1,1,5
Oregon,12,14,20,19,18,18,15,9,8,12,12,11,10,8,5,5,4,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-1,-1,-1,0,4
Pennsylvania,12,17,23,21,22,21,21,12,12,17,17,14,13,10,5,3,3,2,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,1,0,0,1,5
Rhode Island,14,14,21,19,20,19,18,12,11,16,17,15,14,10,6,4,4,2,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,2,1,1,3,7
South Carolina,9,9,14,15,14,16,14,10,8,10,10,9,8,5,2,0,-1,-1,-1,-1,-1,-1,-2,-2,0,2,0,0,-1,-2,-3,-2,-1,0,1,1,-1,0,2,4,1,2,3
South Dakota,8,15,18,16,16,13,11,8,10,14,14,10,8,8,5,6,4,2,0,-1,0,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-1,0,4,0,-2,-1,-1,0,1,1,6
Tennessee,8,9,16,15,15,17,15,9,8,12,10,9,8,6,4,2,2,1,0,0,0,-1,-2,-2,-1,-1,-1,1,0,-3,-2,-1,-1,-1,0,2,0,-1,1,2,0,1,4
Texas,13,15,21,20,20,17,16,12,12,16,14,12,11,8,4,3,3,2,1,1,1,0,-2,-2,-2,-1,0,-1,-1,-2,-3,-2,-2,-1,-1,0,0,-1,-1,1,1,0,4
Utah,10,13,18,19,18,17,15,8,9,15,16,17,12,8,5,4,3,1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-2,-2,-1,-1,-1,0,-1,0,-1,0,0,0,7
Vermont,13,14,24,22,20,20,18,10,11,16,16,14,11,7,4,3,3,2,1,1,0,-1,-1,0,0,0,1,1,0,-2,0,2,3,2,1,0,-2,-1,1,1,1,3,4
Virginia,11,12,19,19,21,18,18,11,11,15,14,14,11,9,6,3,3,1,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,3,1,0,0,6
Washington,13,16,24,23,21,20,17,10,10,14,15,14,13,10,6,5,7,6,4,4,3,2,1,2,3,1,1,1,0,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,0,0,1,6
West Virginia,8,9,17,15,16,13,14,9,8,11,10,8,6,5,3,2,1,0,0,0,0,-1,-1,0,1,-1,-1,-1,0,-1,0,1,1,-1,0,1,-1,0,1,0,0,0,4
Wisconsin,13,16,23,21,20,19,16,11,12,17,17,14,11,7,4,3,2,1,0,0,0,-1,-2,-1,0,0,0,0,-1,-2,-1,0,0,0,0,-1,-2,-1,1,0,0,1,3
Wyoming,8,11,17,15,14,13,11,8,9,14,15,9,6,5,2,3,3,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,0,1,0,-2,-1,-1,0,2,1,0,-1,0,0,0,0,6
