City,FAA,IATA,ICAO,Airport,Role,Enplanements
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"74,742"
Youngstown,YNG,YNG,KYNG,Youngstown-Warren Regional Airport / Youngstown ARS,P-N,"53,633"
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,756"
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
WYOMING,,,,,,
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"12,569"
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
WISCONSIN,,,,,,
Wilmington,ILG,ILG,KILG,Wilmington Airport,P-N,"1,043"
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-N,"413,185"
Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,"68,829"
Williamsport,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"22,547"
Wilkes-Barre,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"258,830"
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"40,165"
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,"781,944"
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"759,334"
Westerly,WST,WST,KWST,Westerly State Airport,P-N,"17,218"
WEST VIRGINIA,,,,,,
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
Watertown,ART,ART,KART,Watertown International Airport,P-N,"22,785"
Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"27,069"
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
WASHINGTON,,,,,,
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
VIRGINIA,,,,,,
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"63,104"
VERMONT,,,,,,
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"40,275"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
UTAH,,,,,,
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"31,055"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"16,948"
U.S. VIRGIN ISLANDS,,,,,,
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"38,869"
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,342,315"
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,594,594"
Tri-Cities,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"204,926"
Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"278,436"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
Topeka,FOE,FOE,KFOE,Topeka Regional Airport (formerly Forbes Field Airport),P-N,"6,051"
Toledo,TOL,TOL,KTOL,Toledo Express Airport,P-N,"92,522"
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"38,452"
TEXAS,,,,,,
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"33,565"
TENNESSEE,,,,,,
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"9,194,994"
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"345,404"
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"1,013,149"
Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"77,729"
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"93,076"
State College,UNV,SCE,KUNV,University Park Airport,P-N,"153,737"
St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"915,672"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
St. George,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N,"78,680"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
St. Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport,P-N,"28,462"
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"188,000"
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"462,126"
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
SOUTH DAKOTA,,,,,,
SOUTH CAROLINA,,,,,,
South Bend,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,"329,957"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"83,404"
Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"510,105"
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,"36,413"
Sidney,SDY,SDY,KSDY,Sidney–Richland Municipal Airport,P-N,"8,065"
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"270,395"
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,056,265"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"589,860"
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"167,151"
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"40,120"
Santa Fe,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,"71,252"
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"329,751"
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,321,675"
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,"24,054"
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,343,354"
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"5,321,603"
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport,P-N,"64,393"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
Rota Island,GRO,ROP,PGRO,Rota International Airport,P-N,"19,178"
Roswell,ROW,ROW,KROW,Roswell International Air Center,P-N,"44,378"
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"16,206"
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"191,000"
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"16,110"
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
Rochester,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,205,774"
Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,"305,212"
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
RHODE ISLAND,,,,,,
Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"24,477"
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,771,864"
Redmond,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"306,517"
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"43,414"
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"272,537"
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"5,401,714"
Quincy,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field),P-N,"7,847"
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"558,482"
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
PUERTO RICO,,,,,,
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Providence,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,"1,803,000"
Presque Isle,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle,P-N,"12,526"
Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"73,247"
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"886,343"
Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Ponce,PSE,PSE,TJPS,Mercedita International Airport,P-N,"105,804"
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"34,462"
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"139,398"
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,670,954"
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"15,285,948"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"21,896"
Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,"639,320"
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"986,766"
PENNSYLVANIA,,,,,,
Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Peach Springs,1G4,GCW,,Grand Canyon West Airport,P-N,"128,739"
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport [nb 2],P-S,"434,302"
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"995,801"
"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,P-N,"65,439"
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"17,435"
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,266"
Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,"23,537"
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"20,283,541"
OREGON,,,,,,
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"2,104,625"
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,127,387"
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,796,473"
OKLAHOMA,,,,,,
OHIO,,,,,,
Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,"15,609"
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"430,275"
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
NORTHERN MARIANAS,,,,,,
North Las Vegas,VGT,VGT,KVGT,North Las Vegas Airport,P-N,"15,828"
NORTH DAKOTA,,,,,,
NORTH CAROLINA,,,,,,
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"14,719"
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Nome,OME,OME,PAOM,Nome Airport,P-N,"60,655"
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"142,605"
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
Newburgh,SWF,SWF,KSWF,Stewart International Airport,P-N,"228,640"
New York / Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
NEW YORK,,,,,,
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,533,154"
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,614,802"
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
NEW MEXICO,,,,,,
NEW JERSEY,,,,,,
New Haven,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,"27,911"
NEW HAMPSHIRE,,,,,,
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"106,110"
NEVADA,,,,,,
NEBRASKA,,,,,,
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"944,849"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"124,632"
Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"7,851"
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"116,272"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"192,136"
MONTANA,,,,,,
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"102,342"
Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,"665,691"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"288,209"
MISSOURI,,,,,,
Missoula,MSO,MSO,KMSO,Missoula International Airport,P-S,"381,582"
MISSISSIPPI,,,,,,
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
MINNESOTA,,,,,,
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724"
Midland,MAF,MAF,KMAF,Midland International Airport,P-S,"471,490"
MICHIGAN,,,,,,
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"20,875,813"
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,"705,731"
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-S,"2,016,089"
Melbourne,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,"220,360"
Medford,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-N,"401,469"
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"355,224"
MASSACHUSETTS,,,,,,
MARYLAND,,,,,,
Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Marion,MWA,MWA,KMWA,Williamson County Regional Airport,P-N,"10,044"
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"63,761"
Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"995,403"
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"21,826"
MAINE,,,,,,
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"1,043,185"
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,631,494"
LOUISIANA,,,,,,
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,386,357"
Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,"958,824"
