IATA,City,Airport,Country
AAA,Anaa,Anaa,French Polynesia
AAB,Arrabury,Arrabury,Australia
AAC,Arish,El Arish International Airport,Egypt
AAD,Ad-Dabbah,Ad-Dabbah,Sudan
AAE,Annaba,Les Salines,Algeria
AAF,Apalachicola (FL),Municipal,USA
AAG,Arapoti,Arapoti,Brazil
AAH,Aachen,Aachen/Merzbrück,Germany
AAI,Arraias,Arraias,Brazil
AAJ,Awaradam,Cayana Airstrip,Suriname
AAK,Aranuka,Aranuka,Kiribati
AAL,Aalborg,Aalborg Airport (Aalborg Lufthavn),Denmark
AAM,Mala Mala,Mala Mala,South Africa
AAN,Al Ain,Al Ain International Airport,United Arab Emirates
AAO,Anaco,Anzualegui,Venezuela
AAP,Samarinda,APT Pranoto Airport,Indonesia
AAQ,Anapa,Vityazevo Airport,Russia
AAR,Aarhus,Tirstrup,Denmark
AAS,Apalapsili,Apalapsili,Indonesia
AAT,Altay,Altay Airport,"Xinjiang, China"
AAU,Asau,Asau,Samoa
AAV,Alah,Alah,Philippines
AAW,Abbottabad,Abbottabad,Pakistan
AAX,Araxa,Araxa,Brazil
AAY,Al Ghaydah,Al Ghaydah,Yemen
AAZ,Quetzaltenango,Quetzaltenango Airport,Guatemala
ABA,Abakan,Abakan International Airport,Russia
ABB,Asaba,Asaba International,Nigeria
ABC,Albacete,Los Llanos,Spain
ABD,Abadan,Abadan,Iran
ABE,Allentown (PA),Lehigh Valley International,USA
ABF,Abaiang,Abaiang,Kiribati
ABG,Abingdon,Abingdon,Australia
ABH,Alpha,Alpha,Australia
ABI,Abilene,Municipal,USA
ABJ,Abidjan,Felix Houphouet Boigny International,Cote d'Ivoire
ABK,Kabri Dar,Kabri Dar,Ethiopia
ABL,Ambler (AK),Ambler,USA
ABM,Bamaga,Bamaga,Australia
ABN,Albina,Albina,Suriname
ABO,Aboisso,Aboisso,Cote d'Ivoire
ABP,Atkamba,Atkamba,Papua New Guinea
ABQ,Albuquerque (NM),Albuquerque International Sunport,USA
ABR,Aberdeen (SD),Municipal,USA
ABS,Abu Simbel,Abu Simbel Airport,Egypt
ABT,Al-Baha,Al-Aqiq,Saudi Arabia
ABU,Atambua,Atambua,Indonesia
ABV,Abuja,Nnamdi Azikiwe International Airport,Nigeria
ABW,Abau,Abau,Papua New Guinea
ABX,Albury,Albury,Australia
ABY,Albany (GA),Dougherty County,USA
ABZ,Aberdeen,Dyce,United Kingdom
ACA,Acapulco,Acapulco International Airport,Mexico
ACB,Bellaire,Antrim County,USA (MI)
ACC,Accra,Kotoka International Airport,Ghana
ACD,Acandi,Acandi,Colombia
ACE,Lanzarote,Lanzarote,"Canary Islands, Spain"
ACH,Altenrhein,Altenrhein,Switzerland
ACI,Alderney (one of the Channel Islands),Alderney Airport - The Blaye,United Kingdom
ACK,Nantucket (MA),Memorial,USA
ACL,Aguaclara,Aguaclara,Colombia
ACM,Arica,Arica,Colombia
ACN,Ciudad Acuna,International,Mexico
ACO,Ascona,Ascona,Switzerland
ACR,Araracuara,Araracuara,Colombia
ACS,Achinsk,Achinsk,Russia
ACT,Waco (TX),Municipal,USA
ACU,Achutupo,Achutupo,Panama
ACV,Arcata (CA),Arcata,USA
ACY,Atlantic City (NJ),Atlantic City International,USA
ACZ,Zabol,Zabol A/P,Iran
ADA,Adana,Adana,Turkey
ADB,Izmir,Adnan Menderes Airport,Turkey
ADC,Andakombe,Andakombe,Papua New Guinea
ADD,Addis Ababa,Bole International Airport,Ethiopia
ADE,Aden,Aden International Airport,Yemen
ADF,Adiyaman,Adiyaman,Turkey
ADG,Adrian (MI),Lenawee County,USA
ADH,Aldan,Aldan,Russia
ADI,Arandis,Arandis,Namibia
ADJ,Amman,Marka International Airport,Jordan
ADK,Adak Island (AK),Adak Island NS,USA
ADL,Adelaide,Adelaide International Airport,Australia
ADM,Ardmore (OK),Municipal Airport,USA
ADN,Andes,Andes,Colombia
ADO,Andamooka,Andamooka,Australia
ADP,Anuradhapura,Anuradhapura,Sri Lanka
ADQ,Kodiak (AK),Kodiak Airport,USA
ADR,Andrews (SC),Andrews,USA
ADS,"Dallas, Addison (TX)",Addison Airport,USA
ADT,Ada (OK),Ada,USA
ADU,Ardabil,Ardabil,Iran
ADV,Andover,Andover,United Kingdom
ADW,Camp Springs (MD),Andrews AFB,USA
ADX,St Andrews,RAF Leuchars,"Scotland, United Kingdom"
ADY,Alldays,Alldays,South Africa
ADZ,San Andres Island,San Andrés Airport,Colombia
AEA,Abemama Atoll,Abemama Atoll,Kiribati
AED,Aleneva (AK),Aleneva,USA
AEG,Aek Godang,Aek Godang,Indonesia
AEH,Abecher,Abecher,Chad
AEK,Aseki,Aseki,Papua New Guinea
AEL,Albert Lea (MN),Albert Lea,USA
AEO,Aioun El Atrouss,Aioun El Atrouss,Mauritania
AEP,Buenos Aires,Jorge Newbery Airport,Argentina
AER,Adler/Sochi,Adler-Sochi International Airport,Russia
AES,Aalesund,Vigra,Norway
AET,Allakaket (AK),Allakaket Airport,USA
AEX,Alexandria (LA),Alexandria International Airport,USA
AEY,Akureyri,Akureyri,Iceland
AFA,San Rafael,San Rafael,Argentina
AFD,Port Alfred,Port Alfred,South Africa
AFF,Colorado Springs (CO),USAF Academy,USA
AFI,Amalfi,Amalfi,Colombia
AFL,Alta Floresta,Alta Floresta,Brazil
AFN,Jaffrey (NH),Municipal,USA
AFO,Afton (WY),Municipal,USA
AFR,Afore,Afore,Papua New Guinea
AFT,Afutara,Afutara Aerodrome,Solomon Islands
AFW,Fort Worth (TX),Fort Worth Alliance,USA
AFY,Afyon,Afyon,Turkey
AGA,Agadir,Agadir–Al Massira Airport,Morocco
AGB,Augsburg,Augsburg Airport (Flughafen Augsburg),Germany
AGC,Pittsburgh (PA),Allegheny County Airport,USA
AGD,Anggi,Anggi,Indonesia
AGE,Wangerooge,Flugplatz Wangerooge,Germany
AGF,Agen,Agen La Garenne Airport,France
AGG,Angoram,Angoram,Papua New Guinea
AGH,"Angelholm, Helsingborg",Ängelholm–Helsingborg Airport,Sweden
AGI,Wageningen,Wageningen,Suriname
AGJ,Aguni,Aguni,Japan
AGK,Kagua,Kagua,Papua New Guinea
AGL,Wanigela,Wanigela,Papua New Guinea
AGM,Tasiilaq,Tasiilaq,Greenland
AGN,Angoon (AK),Angoon Seaplane Base,USA
AGO,Magnolia (AR),Magnolia Municipal Airport,USA
AGP,Málaga,Málaga–Costa del Sol Airport[,Spain
AGQ,Agrinion,Agrinion,Greece
AGR,Agra,Kheria,India
AGS,Augusta (GA),Bush Field,USA
AGT,Ciudad del Este,Guarani International Airport (Alejo Garcia),Paraguay
AGU,Aguascalientes,Jesús Terán Peredo International Airport,Mexico
AGV,Acarigua,Oswaldo Guevara Mujica Airport,Venezuela
AGW,Agnew,Agnew Airport,Australia
AGX,Agatti Island,Agatti Island,India
AGY,Argyle Downs,Argyle Downs Airport,Australia
AGZ,Aggeneys,Aggeneys Airport,South Africa
AHB,Abha,Abha Regional Airport,Saudi Arabia
AHC,Herlong (CA),Amedee AAF,USA
AHD,Ardmore (OK),Downtown,USA
AHE,Ahe,Ahe Airport,French Polynesia
AHF,Arapahoe (NE),Municipal,USA
AHH,Amery (WI),Municipal,USA
AHI,Amahai,Amahai,Indonesia
AHL,Aishalton,Aishalton,Guyana
AHN,Athens (GA),Athens-Ben Epps Airport,USA
AHO,Alghero,Fertilia,Italy
AHS,Ahuas,Ahuas,Honduras
AHT,Amchitka (AK),Amchitka,USA
AHU,Al Hoceima,Charif Al Idrissi,Morocco
AHY,Ambatolahy,Ambatolahy,Madagascar
AHZ,Alpe D Huez,Alpe D Huez,France
AIA,Alliance (NE),Alliance,USA
AIB,Anita Bay (AK),Anita Bay,USA
AIC,Airok,Airok,Marshall Islands
AID,Anderson (IN),Municipal,USA
AIE,Aiome,Aiome,Papua New Guinea
AIF,Assis,Assis,Brazil
AIG,Yalinga,Yalinga,Central African Republic
AIH,Aiambak,Aiambak,Papua New Guinea
AII,Alisabieh,Alisabieh,Djibouti
AIK,Aiken (SC),Municipal,USA
AIL,Ailigandi,Ailigandi,Panama
AIM,Ailuk Island,Ailuk Island,Marshall Islands
AIN,Wainwright (AK),Wainwright,USA
AIO,Atlantic IA,Municipal,USA
AIP,Ailinglapalap Island,Ailinglapalap Island,Marshall Islands
AIR,Aripuana,Aripuana,Brazil
AIS,Arorae Island,Arorae Island,Kiribati
AIT,Aitutaki,Aitutaki,Cook Islands
AIU,Atiu Island,Atiu Island,Cook Islands
AIV,Aliceville (AL),George Downer,USA
AIW,Ai-Ais,Ai-Ais,Namibia
AIY,Atlantic City (NJ),Bader Field (closed 2006),USA
AIZ,Kaiser/Lake Ozark (MO),Lee C Fine Memorial,USA
AJA,Ajaccio,Campo Dell Oro,France
AJF,Jouf,Jouf,Saudi Arabia
AJI,Agri,Agri,Turkey
AJJ,Akjoujt,Akjoujt,Mauritania
AJL,Aizawl,Aizawl,India
AJN,"Anjouan, Nzwani Island",Ouani,Comoros
AJO,Aljouf,Aljouf,Yemen
AJR,Arvidsjaur,Arvidsjaur,Sweden
AJS,Abreojos,Abreojos,Mexico
AJU,Aracaju,Aracaju - Santa Maria Airport,Brazil
AJY,Agades,Mano Dayak International Airport,Niger
AKA,Ankang,Ankang,PR China
AKB,Atka (AK),Atka,USA
AKC,Akron/Canton (OH),Akron Fulton International Airport,USA
AKD,Akola,Akola,India
AKE,Akieni,Akieni,Gabon
AKF,Kufrah,Kufrah,Libya
AKG,Anguganak,Anguganak,Papua New Guinea
AKI,Akiak (AK),Akiak,USA
AKJ,Asahikawa,Asahikawa,Japan
AKK,Akhiok,Akhiok SPB,USAAK
AKL,Auckland,Auckland International Airport,New Zealand
AKL,Auckland,Metropolitan Area,New Zealand
AKM,Zakouma,Zakouma,Chad
AKN,King Salmon (AK),King Salmon,USA
AKO,Akron (CO),Colorado Plains Regional Airport,USA
AKP,Anaktuvuk (AK),Anaktuvuk,USA
AKQ,Astraksetra,Gunung Batin,Indonesia
AKR,Akure,Akure,Nigeria
AKS,Auki,Gwaunaru'u,Solomon Islands
AKT,Akrotiri,Akrotiri RAF,Cyprus
AKU,Aksu,Aksu,PR China
AKV,Akulivik,Akulivik,Canada
AKX,Aktyubinsk,Aktyubinsk,Kazakhstan
AKY,Sittwe,Sittwe Airport,Myanmar
ALA,Almaty,Almaty International Airport,Kazakhstan
ALB,Albany (NY),Albany International Airport,USA
,,,
ALC,Alicante,El Altet Airport,Spain
ALD,Alerta,Alerta,Peru
ALE,Alpine (TX),Alpine,USA
ALF,Alta,Alta,Norway
ALG,Algiers,Houari Boumedienne Airport,Algeria
ALH,Albany,Albany,Australia
ALI,Alice,Alice International Airport,USA
ALJ,Alexander Bay,Kortdoorn,South Africa
ALK,Asela,Asela,Ethiopia
ALL,Albenga,Albenga,Italy
ALM,Alamogordo (NM),Municipal,USA
ALN,Alton (IL),Alton,USA
ALO,Waterloo IA,Waterloo,USA
ALP,Aleppo,Aleppo International Airport (Nejrab Airport),Syria
ALQ,Alegrete,Federal,Brazil
ALR,Alexandra,Alexandra,New Zealand
ALS,Alamosa (CO),Municipal,USA
ALT,Alenquer,Alenquer,Brazil
ALU,Alula,Alula,Somalia
ALV,Andorra La Vella,Andorra La Vella H/P,Andorra
ALW,Walla Walla (WA),Walla Walla,USA
ALX,Alexander City (AL),Thomas C. Russell Field,USA
ALY,Alexandria,El Nouzha Airport (Alexandria International Airport),Egypt
ALZ,Alitak (AK),Alitak SPB,USA
AMA,Amarillo (TX),Rick Husband Amarillo International Airport,USA
AMB,Ambilobe,Ambilobe,Madagascar
AMC,Am Timan,Am Timan,Chad
AMD,Ahmedabad,Sardar Vallabhbhai Patel International Airport,India
AME,Alto Molocue,Alto Molocue,Mozambique
AMF,Ama,Ama,Papua New Guinea
AMG,Amboin,Amboin,Papua New Guinea
AMH,Arba Mintch,Arba Mintch,Ethiopia
AMI,Mataram,Selaparang,Indonesia
AMJ,Almenara,Almenara,Brazil
AMK,Durango (CO),Animas Airpark,USA
AML,Puerto Armuellas,Puerto Armuellas,Panama
AMM,Amman,Queen Alia International Airport,Jordan
AMN,Alma (MI),Gratiot Community,USA
AMO,Mao,Mao,Chad
AMP,Ampanihy,Ampanihy,Madagascar
AMQ,Ambon,Pattimura,Indonesia
AMR,Arno,Arno,Marshall Islands
AMS,Amsterdam,Amsterdam-Schiphol,Netherlands
AMT,Amata,Amata,Australia
AMU,Amanab,Amanab,Papua New Guinea
AMV,Amderma,Amderma,Russia
AMW,Ames IA,Ames,USA
AMX,Ammaroo,Ammaroo,Australia
AMY,Ambatomainty,Ambatomainty,Madagascar
AMZ,Ardmore,Ardmore,New Zealand
ANA,Anaheim (CA),Anaheim,USA
ANB,Anniston (AL),County Airport,USA
ANB,Anniston (AL),Metropolitan Area,USA
ANC,Anchorage (AK),Ted Stevens Anchorage International Airport,USA
AND,Anderson (SC),Anderson,USA
ANE,Angers,Marce,France
ANF,Antofagasta,Cerro Moreno International Airport,Chile
ANG,Angouleme,Brie-Champniers,France
ANH,Anuha Island Resort,Anuha Island Resort,Solomon Islands
ANI,Aniak (AK),Aniak,USA
ANJ,Zanaga,Zanaga,Congo (ROC)
ANK,Ankara,Etimesgut,Turkey
ANL,Andulo,Andulo,Angola
ANM,Antalaha,Antsirabato,Madagascar
ANN,Annette Island (AK),Annette Island,USA
ANO,Angoche,Angoche,Mozambique
ANP,Annapolis (MD),Lee Airport,USA
ANQ,Angola (IN),Tri-State Steuben City,USA
ANR,Antwerp,Antwerpen International Airport (Deurne),Belgium
ANS,Andahuaylas,Andahuaylas,Peru
ANT,St. Anton,St. Anton,Austria
ANU,St. John's,V.C. Bird International Airport,Antigua and Barbuda
ANV,Anvik (AK),Anvik,USA
ANW,Ainsworth (NE),Ainsworth,USA
ANX,Andenes,Andenes,Norway
ANY,Anthony (KS),Anthony,USA
ANZ,Angus Downs,Angus Downs,Australia
AOA,Aroa,Aroa,Papua New Guinea
AOB,Annanberg,Annanberg,Papua New Guinea
AOC,Altenburg,Altenburg Nobitz,Germany
AOD,Abou Deia,Abou Deia,Chad
AOE,Eskisehir,Anadolu University,Turkey
AOG,Anshan,Anshan,PR China
AOH,Liangping,Allen County,PR China
AOH,Lima (OH),Allen County,USA
AOI,Ancona,Ancona Falconara Airport,Italy
AOJ,Aomori,Aomori,Japan
AOK,Karpathos,Karpathos,Greece
AOL,Paso De Los Libres,Paso De Los Libres,Argentina
AON,Arona,Arona,Papua New Guinea
AOO,Altoona (PA),Martinsburg,USA
AOR,Alor Setar,Alor Setar,Malaysia
AOS,Amook (AK),Amook,USA
AOT,Aosta,Corrado Gex,Italy
AOU,Attopeu,Attopeu,Lao PDR
APA,Denver (CO),Arapahoe County - Centennial Airport,USA
APB,Apolo,Apolo,Bolivia
APC,Napa (CA),Napa County,USA
APE,San Juan Aposento,San Juan Aposento,Peru
APF,Naples (FL),Naples,USA
APG,Aberdeen (MD),Phillips AAF,USA
APH,Bowling Green (VA),Camp A P Hill,USA
API,Apiay,Apiay,Colombia
APK,Apataki,Apataki,French Polynesia
APL,Nampula,Nampula,Mozambique
APN,Alpena (MI),Alpena County Regional,USA
APO,Apartado,Apartado,Colombia
APP,Asapa,Asapa,Papua New Guinea
APQ,Arapiraca,Arapiraca,Brazil
APR,April River,April River,Papua New Guinea
APS,Anapolis,Anapolis,Brazil
APT,Jasper (TN),Marion County,USA
APU,Apucarana,Apucarana,Brazil
APV,Apple Valley (CA),Apple Valley,USA
APW,Apia,Faleolo International Airport,Samoa
APX,Arapongas,Arapongas,Brazil
APY,Alto Parnaiba,Alto Parnaiba,Brazil
APZ,Zapala,Zapala,Argentina
AQA,Araraquara,Araraquara,Brazil
AQB,Quiche,Quiche Airport,Guatemala
AQG,Anqing,Anqing,PR China
AQI,Qaisumah,Qaisumah,Saudi Arabia
AQJ,Aqaba,King Hussein International Airport,Jordan
AQM,Ariquemes,Ariquemes,Brazil
AQP,Arequipa,Rodriguez Ballon International Airport,Peru
AQS,Saqani,Saqani,Fiji
AQY,Alyeska (AK),Alyeska,USA
ARA,New Iberia (LA),Acadiana Regional,USA
ARB,Ann Arbor (MI),Municipal,USA
ARC,Arctic Village (AK),Arctic Village,USA
ARD,Alor Island,Alor Island,Indonesia
ARE,Arecibo,Antonio/Nery/Juarbe Pol,Puerto Rico
ARF,Acaricuara,Acaricuara,Colombia
ARG,Argyle,Argyle International Airport,St. Vincent and the Grenadines
ARH,Arkhangelsk,Talagi Airport,Russia
ARI,Arica,Chacalluta International Airport,Chile
ARJ,Arso,Arso,Indonesia
ARK,Arusha,Arusha,Tanzania
ARL,Arly,Arly,Burkina Faso
ARM,Armidale,Armidale,Australia
ARN,Stockholm,Arlanda,Sweden
ARO,Arboletas,Arboletas,Colombia
ARP,Aragip,Aragip,Papua New Guinea
ARQ,Arauquita,Arauquita,Colombia
ARR,Alto Rio Senguerr,Alto Rio Senguerr,Argentina
ARS,Aragarcas,Aragarcas,Brazil
ART,Watertown (NY),Watertown,USA
ARU,Aracatuba,Aracatuba,Brazil
ARV,Minocqua (WI),Noble F. Lee,USA
ARW,Arad,Arad,Romania
ARX,Aracati,Dragao do Mar,Brazil
ARY,Ararat,Ararat,Australia
ARZ,N'Zeto,N'Zeto,Angola
ASA,Assab,Assab International Airport,Eritrea
ASB,Ashgabat,Ashgabat Airport,Turkmenistan
ASC,Ascension,Ascension,Bolivia
ASD,Andros Town,Andros Town Intl Airport,Bahamas
ASE,Aspen (CO),Aspen-Pitkin Airport,USA
ASF,Astrakhan,Astrakhan,Russia
ASG,Ashburton,Ashburton,New Zealand
ASH,Nashua (NH),Boire Field,USA
ASI,Georgetown,Wideawake Field,St. Helena
ASJ,Amami Oshima Is,Amami-Oshima Airport,Japan
ASK,Yamoussoukro,Yamoussoukro,Cote d'Ivoire
ASL,Marshall (TX),Harrison County,USA
ASM,Asmara,Asmara International Airport,Eritrea
ASN,Talladega (AL),Talladega,USA
ASO,Asosa,Asosa,Ethiopia
ASP,Alice Springs,Alice Springs,Australia
ASQ,Austin (NV),Austin,USA
ASR,Kayseri,Kayseri,Turkey
AST,Astoria (OR),Astoria,USA
ASU,Asuncion,Silvio Pettirossi International,Paraguay
ASV,Amboseli,Amboseli,Kenya
ASW,Aswan,Aswan International Airport,Egypt
ASX,Ashland (WI),Ashland,USA
ASY,Ashley (ND),Ashley,USA
ASZ,Asirim,Asirim,Papua New Guinea
ATA,Anta,Anta,Peru
ATB,Atbara,Atbara,Sudan
ATC,Arthur's Town,Arthur's Town,Bahamas
ATD,Atoifi,Atoifi,Solomon Islands
ATE,Antlers (OK),Antlers,USA
ATF,Ambato,Chachoan,Ecuador
ATG,Attock,Attock,Pakistan
ATH,Athens,Athens International Airport,Greece
ATI,Artigas,Artigas,Uruguay
ATJ,Antsirabe,Antsirabe,Madagascar
ATK,Atqasuk (AK),Atqasuk,USA
ATL,Atlanta (GA),Hartsfield-Jackson Atlanta Intl,USA
ATM,Altamira,Altamira,Brazil
ATN,Namatanai,Namatanai,Papua New Guinea
ATO,Athens (OH),Ohio University,USA
ATP,Aitape,Aitape Airstrip,Papua New Guinea
ATQ,Amritsar,Sri Guru Ram Dass Jee International,"Punjab, India"
ATR,Atar,Atar Mouakchott,Mauritania
ATS,Artesia (NM),Artesia,USA
ATT,Atmautluak (AK),Atmautluak,USA
ATU,Attu Island (AK),Casco Cove,USA
ATV,Ati,Ati,Chad
ATW,Appleton (WI),Outagamie County,USA
ATX,Atbasar,Atbasar,Kazakhstan
ATY,Watertown (SD),Watertown,USA
ATZ,Assiut,Assiut,Egypt
AUA,Aruba,Queen Beatrix Intl Airport,Aruba
AUC,Arauca,Arauca,Colombia
AUD,Augustus Downs,Augustus Downs,Australia
AUE,Abu Rudeis,Abu Rudeis,Egypt
AUF,Auxerre,Auxerre Branches,France
AUG,Augusta (ME),Augusta,USA
AUH,Abu Dhabi,Abu Dhabi International,United Arab Emirates
AUI,Aua Island,Aua Island,Papua New Guinea
AUJ,Ambunti,Ambunti,Papua New Guinea
AUK,Alakanuk (AK),Alakanuk,USA
AUL,Aur Island,Aur Island,Marshall Islands
AUM,Austin (MN),Austin,USA
AUN,Auburn (CA),Auburn,USA
AUO,Auburn (AL),Auburn-Opelika,USA
AUP,Agaun,Agaun,Papua New Guinea
AUQ,Atuona,Atuona,French Polynesia
AUR,Aurillac,Aurillac,France
AUS,Austin (TX),Austin-Bergstrom Intl,USA
AUT,Atauro,Atauro,Indonesia
AUU,Aurukun Mission,Aurukun Mission,Australia
AUV,Aumo,Aumo,Papua New Guinea
AUW,Wausau (WI),Municipal,USA
AUX,Araguaina,Araguaina,Brazil
AUY,Aneityum,Aneityum,Vanuatu
AUZ,Aurora (IL),Municipal Airport,USA
AVB,Aviano,Aviano,Italy
AVF,Avoriaz,Avoriaz,France
AVG,Auvergne,Auvergne,Australia
AVI,Ciego De Avila,Maximo Gomez,Cuba
AVK,Arvaikheer,Arvaikheer,Mongolia
AVL,Asheville (NC),Hendersonville,USA
AVN,Avignon,Avignon-Caum,France
AVO,Avon Park (FL),Municipal,USA
AVP,Scranton (PA),Wilkes-Barre Intl,USA
AVU,Avu Avu,Avu Avu,Solomon Islands
AVV,Avalon,Avalon,Australia
AVW,Tucson (AZ),Avra Valley,USA
AVX,Catalina Island (CA),Avalon Bay,USA
AWA,Awassa,Awassa,Ethiopia
AWB,Awaba,Awaba,Papua New Guinea
AWD,Aniwa,Aniwa,Vanuatu
AWE,Alowe,Alowe,Gabon
AWH,Awareh,Awareh,Ethiopia
AWK,Wake Island,Wake Island,US Minor Outlying Is
AWM,West Memphis (AR),Municipal,USA
AWN,Alton Downs,Alton Downs,Australia
AWP,Austral Downs,Austral Downs,Australia
AWR,Awar,Awar,Papua New Guinea
AWZ,Ahwaz,Ahwaz,Iran
AXA,Anguilla,Wallblake,Anguilla
AXB,Alexandria Bay (NY),Alexandria Bay,USA
AXC,Aramac,Aramac,Australia
AXD,Alexandroupolis,Demokritos Airport,Greece
AXE,Xanxere,Xanxere,Brazil
AXG,Algona IA,Algona,USA
AXK,Ataq,Ataq,Yemen
AXL,Alexandria,Alexandria,Australia
AXM,Armenia,El Eden,Colombia
AXN,Alexandria (MN),Alexandria,USA
AXP,Spring Point,Springpoint Airport,Bahamas
AXR,Arutua,Arutua,French Polynesia
AXS,Altus (OK),Municipal,USA
AXT,Akita,Akita,Japan
AXU,Axum,Axum,Ethiopia
AXV,Wapakoneta (OH),Neil Armstrong,USA
AXX,Angel Fire (NM),Angel Fire,USA
AYA,Ayapel,Ayapel,Colombia
AYC,Ayacucho,Ayacucho,Colombia
AYD,Alroy Downs,Alroy Downs,Australia
AYE,Fort Devens (MA),AAF Heliport,USA
AYG,Yaguara,Yaguara,Colombia
AYI,Yari,Yari,Colombia
AYK,Arkalyk,Arkalyk,Kazakhstan
AYL,Anthony Lagoon,Anthony Lagoon,Australia
AYN,Anyang,Anyang,PR China
AYO,Ayolas,Ayolas,Paraguay
AYP,Ayacucho,Yanamilla,Peru
AYQ,Ayers Rock,Connellan Airport,Australia
AYR,Ayr,Ayr Airport,Australia
AYS,Waycross (GA),Ware County,USA
AYT,Antalya,Antalya Airport,Turkey
AYU,Aiyura,Aiyura,Papua New Guinea
AYW,Ayawasi,Ayawasi,Indonesia
AYZ,Amityville (NY),Zahns,USA
AZB,Amazon Bay,Amazon Bay,Papua New Guinea
AZD,Yazd,Yazd,Iran
AZG,Apatzingan,Apatzingan,Mexico
AZI,Abu Dhabi,Al Bateen Airport,United Arab Emirates
AZN,Andizhan,Andizhan,Uzbekistan
AZO,Kalamazoo (MI),Battle Creek International,USA
AZP,Mexico City,Atizapan,Mexico
AZR,Adrar,Adrar,Algeria
AZS,El Catey,Samaná El Catey International Airport,Dominican Republic
AZT,Zapatoca,Zapatoca,Colombia
AZZ,Ambriz,Ambriz,Angola
